,5c58799afaea1331935fda2c,5c587a02faea1331f3c8f128,5c587a19faea1331fba7adef,5c587a34faea133204da79f8,5c587a42faea133204da7a08,5c587a49faea133204da7a12,5c587a4efaea133204da7a19,5c587a5afaea133204da7a28,5c587a64faea133204da7a35,5c587a6bfaea133204da7a3f,5c587a78faea133204da7a4f,5c587a84faea133204da7a5f,5c587a8ffaea133204da7a6d,5c587a94faea133204da7a75,5c587a9efaea133204da7a82,5c587aa5faea133204da7a8b,5c587aa9faea133204da7a91,5c587ab8faea133204da7aa5,5c587abffaea133204da7aae,5c587acdfaea133204da7abf,5c587adcfaea133204da7ad0,5c587ae8faea133204da7ade,5c587aeefaea133204da7ae5,5c595355faea134a77ea150e
5c55a196faea1375ab89ed0f,,,,,,,,,,,,-0.2997634363634938,,-0.030141369387904682,,,,,,,,,,
5c55a19bfaea1375ab89ed20,,-0.8077771253529771,,,,,,,,,,,,,,,,,,,,,,
5c55a1aefaea1375ab89ed65,,,,0.5603305632042068,,,,,,,,,,,,,,,,,,,,
5c55a1ccfaea1375ab89edbc,,,,,,,,,,,,-0.6372632838605017,,-0.42805969429046575,,,,,,,,,,
5c55a1cdfaea1375ab89edc0,,0.7601852330104237,,,,,,,,0.6313864201036892,,,,,,,,,,,,,,
5c55a1d0faea1375ab89edca,,,,,,,,,,,,,,,,,,,,-0.7008853657216569,,,,
5c55a1defaea1375ab89edfe,,,,-0.6832368082663804,,,,,,,,,,,,,,,,,,,,
5c55a20efaea1375ab89ee90,,,,,,,,,,0.13214665582024665,,,,,,,,,,,,,,
5c55a211faea1375ab89ee9b,,,,,,,,,,,,,,,,,,,,0.840108329260175,,,,
5c55a247faea1375ab89ef60,,,,,,,,,,-0.4003714869959465,,,,,,,,,,,,,,
5c55a24ffaea1375ab89ef6c,,,,,,,,,,,,,,,,,,,,0.588695110682655,,,,
